Questions	Réponses
Que récolte le patch?	 Le patch récolte plusieurs paramètres physiologiques comme la température du corps, la saturation en oxygène et l électrocardiogramme en 3 dérivations. 
Combien coûte le patch? 	 Il faut compter environ une cinquantaine d euros.  
Où vont mes données?	 Ils vont sur un serveur sécurisé pour permettre au médecin d avoir en temps réel les informations sur l état de santé de l utilisateur.  
Qui récolte mes données?	 Les données sont récoltées sur un serveur sécurisé relié à une application. Un médecin à un accès sécurisé pour lui permettre d avoir en temps réel les informations sur l état de santé de l utilisateur.  
Que fais-ce patch? 	 Il récolte des données physiologiques pour suivre l état cardiaque de l utilisateur. Après traitement, il est possible de prédire potentiellement un AVC.   
Qui dirige Devinnova ?	Le directeur est Fabrice Vaussenat.
Qui est le directeur de Devinnova ? 	Le directeur est Fabrice Vaussenat.
Qui puis-je appeler pour plus de renseignements ?	Voici le numéro du service communication : 0612536526.
 Devinnova, c est quoi ? 	" Elle est une entreprise qui souhaite mettre le patient au coeur de l innovation, c est-à-dire qu il puisse contribuer par sa connaissance à son rétablissement. Pour ce faire, elle commercialise le dispositif ""myAngel VitalSigns "". "
Pourquoi récolter mes données ?	 Pour pouvoir traiter l activité de votre coeur et identifier si vous êtes susceptibles d être victimes d un AVC.  
 C est quoi un ECG ? 	 L électrocardiogramme est le tracé de l activité électrique du coeur. Il est une représentation graphique de l activité du coeur. Grâce à ce tracé il est possible, après calcul, de connaître la fréquence réspiratoire par exemple.  
 C est quoi un électrocardiogramme ? 	 L électrocardiogramme est le tracé de l activité électrique du coeur. Il est une représentation graphique de l activité du coeur. Grâce à ce tracé il est possible, après calcul, de connaître la fréquence réspiratoire par exemple.  
" Qu est ce que "" myAngel VitalSigns "" ? "	Il est un patch cutané qui assure la prévention et le suivi des anomalies cardiorespiratoires et neurovasculaires. 
Comment dois-je le mettre ?	Il doit être placé sur le torse plus précisément sur le stérnum. 
"Comment utiliser "" myAngel VitalSigns "" ? "	Il doit être placé sur le torse plus précisément sur le stérnum pendant 7 jours. Au delà, il faudra le changer. 
